CountryName,CountryId,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
Czech Republic,CZ,-1785596,-1675447,-1519388,-1362787,-1338570,-978697,-1140626,-1115020,-996496,-710849,-474522,-443150,-382150,2127,1966,2202,3425,2858
Slovenia,SI,-1625631,-1507752,-1196474,-1182282,-1062830,-1055781,-987121,-941404,-872083,-473600,-280078,-261285,-224928,770,928,956,991,996
Colombia,CO,-506201,-448951,-417509,-398847,-338875,-255301,-306230,-287489,-312675,-194265,-129623,-121588,-104526,846,364,606,1345,934
Montenegro,ME,-171859,-161949,-149533,-122176,-180699,-124629,-147736,-109212,-98664,-127135,-88572,-82802,-71192,72,83,92,42,46
Bulgaria,BG,-146424,-116389,-88029,-114810,-71014,-57659,-68691,-70249,-65592,-38831,-21122,-20051,-17528,518,1046,504,513,977
Albania,AL,-57019,-47799,-28247,-39821,-21823,-11916,-11965,-18643,-36853,-21128,-14974,-14094,-12081,60,700,53,87,450
Malta,MT,-32820,-7615,-6256,-5687,-4370,-2336,978,-2879,1434,-221,-2230,-2578,-2672,1569,1201,1372,1164,1048
Estonia,EE,-30847,-81299,-52534,-47615,-41821,-28441,-30537,-33073,-27193,-9403,-7762,-7241,-6204,244,755,316,140,505
Serbia,RS,-21239,-28650,-26904,-22444,-19561,-15551,-17938,-17939,-12962,-9463,-7844,-7859,-6589,288,676,372,177,391
Cyprus,CY,-11498,-14353,-13524,1657,-11267,-7315,-12316,-10128,14069,-3723,-194,-1488,-2988,3165,2557,3238,3402,2987
Russia,RU,-9522,8317,13518,8633,2714,3416,-4595,12783,6532,62895,63042,51314,20659,17651,4058,13881,9590,9117
Latvia,LV,-7736,-2502,-1198,-1920,-5013,-5975,-5825,-1304,-1880,-1332,-1852,-1738,-1358,267,831,331,204,645
Croatia,HR,-1210,-2193,-2518,-898,-2471,-1969,-3013,-2215,-263,1426,1427,1331,1330,1482,1276,1361,834,1204
Belarus,BY,-1002,-1636,-5418,-1697,-6553,-6049,-7942,-5880,-274,-71,-88,31,-133,140,735,71,70,377
Romania,RO,-656,-993,-61,-351,370,-1418,-229,-27,240,561,1060,686,489,665,946,441,551,973
Venezuela,VE,-420,-142,747,4167,332,1804,406,-1999,376,3939,2270,1012,786,1136,425,1026,1045,606
Hungary,HU,-205,3106,2818,3409,1316,1891,1790,3885,1652,1823,1607,2033,1594,996,1642,1266,768,1539
European Central Bank,#N/A,-127,-16,-10,-24,-1,-7,-40,0,-31,-109,-78,-73,-63,0,0,0,0,0
EU Institutions,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,LT,147,97,118,399,371,357,440,183,138,524,373,228,311,147,901,190,118,612
Uruguay,UY,491,333,457,433,848,785,508,824,635,886,661,760,507,812,321,114,175,460
Argentina,AR,585,221,250,338,635,664,297,493,306,508,473,445,310,251,1343,267,488,2679
Slovak Republic,SK,697,2540,2198,2577,2518,2998,2567,2302,2620,957,1015,980,1370,581,848,169,418,501
Turkey,TR,1000,-1548,-727,-3417,2559,-921,4009,-339,1971,5578,4899,4496,2385,2798,2796,2679,3240,2638
Ukraine,UA,1430,30917,23213,26674,36651,34454,50545,9805,17456,53319,42889,32260,22742,1502,715,1237,209,500
Chile,CL,2124,1746,3675,8374,7245,7719,5955,6684,7068,3246,1850,772,842,1122,258,804,995,412
Liechtenstein,LI,3498,4111,2679,2697,4297,4256,5060,4001,2164,3507,2565,2912,2488,2285,1704,2249,2052,3161
Other,#N/A,4747,3331,2913,2876,2945,3009,6202,2441,909,3257,4431,3351,3087,3004,5638,2575,4071,4644
Brazil,BR,4978,5002,3196,9228,13009,20319,7830,9082,5005,6909,7533,8559,7454,4432,4054,2763,3317,4745
Mexico,MX,6622,1363,-448,2826,7757,9862,11976,1474,1853,3013,3117,4077,3400,2873,4359,2619,5748,5265
Iceland,IS,6806,2076,3590,3150,4459,5226,4785,5022,3523,7261,6155,4575,2113,994,198,348,513,181
Poland,PL,8822,6563,6927,5016,11623,8456,12867,9479,4312,9846,7018,6616,5247,3209,3657,3153,4487,4060
Portugal,PT,15237,28674,35915,28387,20269,14882,12879,24120,27411,20520,17869,15895,13232,11402,6129,9745,6754,5783
Denmark,DK,42246,24321,34481,17114,29346,30213,36883,33510,27222,55497,38292,36518,35588,30995,16248,21973,22821,19935
Austria,AT,48815,48797,49504,45124,35811,25556,29088,36606,42433,36031,31669,26723,25998,19051,9794,18088,17279,11432
Finland,FI,51303,104755,79627,67003,67883,46599,45833,49070,47930,30354,25339,22695,20528,12646,5516,7470,6351,5595
Sweden,SE,65470,83437,88954,75309,86587,83500,79745,82715,65757,72331,58032,51478,48400,34874,39957,28518,30310,43966
Greece,GR,73368,48897,50222,61612,46963,37454,38305,50338,83986,49931,37449,33607,25074,19105,16972,17651,13869,24670
Belgium,BE,116773,107795,116183,98995,98015,83874,98385,102711,129272,110147,89605,87819,85850,70991,46257,62910,54518,41884
Norway,NO,118189,100859,107004,99142,105639,102243,101553,100424,85557,82322,68957,56088,32653,28513,10075,21183,16530,14055
Italy,IT,141605,184557,212475,159818,182871,155916,151634,183508,149871,112912,102442,98499,96511,82222,61517,77648,71106,68032
Spain,ES,160968,214369,228450,198898,147612,108355,120517,172368,170621,153404,136914,93413,74876,56997,24919,47098,35458,23997
Canada,CA,164679,153163,146919,145683,184387,170054,187334,149671,126976,111756,98624,82483,68244,48731,33158,39477,42628,31751
Luxembourg,LU,307063,326965,385475,337259,426397,438312,495096,459073,306151,235066,193573,159136,138364,122271,76370,85820,79872,77665
Switzerland,CH,419697,394844,361308,420228,378532,341086,362331,376212,325392,443968,258166,315919,282853,272848,221954,241340,231676,271620
Other Central American Countries,#N/A,432300,431448,265783,311319,448529,456937,571893,321734,287312,385653,286232,288021,217633,158828,101874,107938,120206,109445
Ireland,IE,544864,596884,594943,528408,551038,581386,652784,494139,530200,434069,333482,289003,225630,170283,49286,133491,107549,60506
Netherlands,NL,710979,568122,570506,524201,582390,503988,573793,493566,571959,675091,559131,458715,328498,237961,133241,212300,217858,162239
France,FR,921085,831254,897959,802007,891785,789729,843006,815317,711978,601983,448299,447815,331440,217676,162134,202122,172448,220937
Germany,DE,1218330,1041573,1053855,1011182,887800,725069,842837,872884,960371,813123,650203,595358,549625,366008,261264,308333,262304,272786
United States of America,US,3335005,3653653,3423693,3183858,3115394,3084478,3189149,2937198,2557654,1913860,1679628,1487004,1222098,875339,618167,793155,944170,756744
Worlddata,W1,3335005,3653653,3423693,3183858,3115394,3084478,3189149,2937198,2557654,1913860,1679628,1487004,1222098,875339,618167,793155,944170,756744